,username,recipe_id,rating
2,southern & soul food_fan_630,Sausage-Sauerkraut-Sloppy-Joes-1557576,1
4,southern & soul food_fan_630,Sauerbraten-1340986,1
7,southern & soul food_fan_630,Sirloin-Stroganoff-MyRecipes-249593,3
0,southern & soul food_fan_630,Pork-Schnitzels-778938,2
3,southern & soul food_fan_630,Sauerbraten-Beef-in-Gingersnap-Gravy-1540117,5
11,southern & soul food_fan_630,Asian-Style-Scallops-I-Adore-Food-55293,3
15,southern & soul food_fan_630,World_s-Easiest-Garlicky-Green-Beans-Stir-Fry-685309,1
10,southern & soul food_fan_630,Easy-Noodle-Stir-Fry-1170602,4
12,southern & soul food_fan_630,Spicy-Garlic-and-Pepper-Shrimp-Stir-Fry-1192554,2
17,southern & soul food_fan_630,Chili-shrimp-and-asparagus-stir-fry-352470,2
29,southern & soul food_fan_630,Cuban-Potato-Balls-_Papas-Rellenas_-481776,4
26,southern & soul food_fan_630,Cuban-Style-Lamb-1733103,1
28,southern & soul food_fan_630,Cuban-Style-Pulled-Pork-Sliders-495061,2
20,southern & soul food_fan_630,Cuban-roast-pork-_lechon-asado_-351717,5
23,southern & soul food_fan_630,Cuban-Empanadas-1299337,3
36,southern & soul food_fan_630,Hungarian-Goulash-_Slow-Cooker_-1477328,1
39,southern & soul food_fan_630,Slow-Cooker-Hungarian-Goulash-1099957,1
33,southern & soul food_fan_630,Hungarian-Beef-Goulash-1321475,2
32,southern & soul food_fan_630,Slow-Cookers-Beef-Paprikash-1044728,5
30,southern & soul food_fan_630,Hungarian-Goulash-1975672,1
48,southern & soul food_fan_630,Japanese-Crispy-Fried-Shrimp-630308,2
49,southern & soul food_fan_630,Protein-Packed-Japanese-Tofu-Steak-1314305,3
40,southern & soul food_fan_630,Beef-Negimaki-1128838,2
43,southern & soul food_fan_630,Unagi-Don-_Unadon_-1032097,1
44,southern & soul food_fan_630,Nobu_s-Miso-Marinated-Black-Cod-2011466,5
53,southern & soul food_fan_630,Broiled-Spanish-Mackerel-AllRecipes-36799,5
57,southern & soul food_fan_630,Albondigas-_Spanish-Meatballs_-1116469,3
51,southern & soul food_fan_630,Spanish-Chorizo-Omelette-with-Irregular-Mushrooms-1802850,2
54,southern & soul food_fan_630,Spanish_style-Shrimp-With-Garlic-My-Recipes,3
56,southern & soul food_fan_630,Speedy-Shrimp-and-Orzo-Paella-1197247,4
60,southern & soul food_fan_630,Moroccan-Inspired-Pork-Stew-1332144,1
62,southern & soul food_fan_630,Spicy-Moroccan-Shrimp-Tagine-513928,1
66,southern & soul food_fan_630,Moroccan-Spiced-Tuna-Steaks-1519093,1
64,southern & soul food_fan_630,White-Bean-Tagine-_Loubia_-989755,3
61,southern & soul food_fan_630,Moroccan-Spiced-Fish-1994862,4
71,southern & soul food_fan_630,Spinach-and-Feta-Greek-Stuffed-Pork-Chops-1273937,2
73,southern & soul food_fan_630,Greek-Stuffed-Tomatoes-With-Quinoa-And-Black-Lentils-556703,5
77,southern & soul food_fan_630,Chicken-Tzatziki-Pizza-1707167,5
72,southern & soul food_fan_630,Skinny_-Greek-Style-Vegetarian-Pizza_-Ready-in-10-Minutes_-633758,1
76,southern & soul food_fan_630,Feta-Stuffed-Greek-Meatballs-with-Lemon-Garlic-Yogurt-Sauce-991145,3
