,username,recipe_id,rating
3,evette_cant_get_enough_english_food_984,Sauerbraten-Beef-in-Gingersnap-Gravy-1540117,2
6,evette_cant_get_enough_english_food_984,Sauerbraten-1500604,3
8,evette_cant_get_enough_english_food_984,German-Pork-Chops-and-Sauerkraut-AllRecipes-40040,2
2,evette_cant_get_enough_english_food_984,Sausage-Sauerkraut-Sloppy-Joes-1557576,3
7,evette_cant_get_enough_english_food_984,Sirloin-Stroganoff-MyRecipes-249593,2
12,evette_cant_get_enough_english_food_984,Spicy-Garlic-and-Pepper-Shrimp-Stir-Fry-1192554,2
10,evette_cant_get_enough_english_food_984,Easy-Noodle-Stir-Fry-1170602,3
11,evette_cant_get_enough_english_food_984,Asian-Style-Scallops-I-Adore-Food-55293,1
19,evette_cant_get_enough_english_food_984,Steamed-Scallops-with-Soy-Sauce-and-Garlic-Oil-497320,4
14,evette_cant_get_enough_english_food_984,Garlic-Ginger-Shrimp-Stir-fry-758551,3
22,evette_cant_get_enough_english_food_984,Cuban-Shredded-Beef-894519,1
24,evette_cant_get_enough_english_food_984,Slow-Cooker-Cuban-Style-Chicken-Stew-1513701,4
21,evette_cant_get_enough_english_food_984,Cuban-Speciality_-Potato-Filled-With-Meat-1012661,4
23,evette_cant_get_enough_english_food_984,Cuban-Empanadas-1299337,5
25,evette_cant_get_enough_english_food_984,Cuban-Black-Beans-_with-Kale_-2031963,3
31,evette_cant_get_enough_english_food_984,Marha-Porkolt---Hungarian-Beef-Paprika-Stew-1019991,2
39,evette_cant_get_enough_english_food_984,Slow-Cooker-Hungarian-Goulash-1099957,3
30,evette_cant_get_enough_english_food_984,Hungarian-Goulash-1975672,1
38,evette_cant_get_enough_english_food_984,Crockpot-Hungarian-Goulash-1784747,3
32,evette_cant_get_enough_english_food_984,Slow-Cookers-Beef-Paprikash-1044728,4
48,evette_cant_get_enough_english_food_984,Japanese-Crispy-Fried-Shrimp-630308,4
45,evette_cant_get_enough_english_food_984,Japanese-Beef-Steak-1612087,4
49,evette_cant_get_enough_english_food_984,Protein-Packed-Japanese-Tofu-Steak-1314305,2
40,evette_cant_get_enough_english_food_984,Beef-Negimaki-1128838,4
44,evette_cant_get_enough_english_food_984,Nobu_s-Miso-Marinated-Black-Cod-2011466,4
51,evette_cant_get_enough_english_food_984,Spanish-Chorizo-Omelette-with-Irregular-Mushrooms-1802850,1
55,evette_cant_get_enough_english_food_984,Chunky-Vegetable-Paella-1717560,1
