,username,favorite_cusine,least_fav_cuisine
0,german_luver_439,German,Southwestern
1,swedish_finesser_653,Swedish,Irish
2,evette_needs_asian_grub_538,Asian,Mexican
3,china_needs_irish_eatz_117,Irish,Greek
4,american_connoisseur_059,American,Mexican
5,robbi_cant_get_enough_southern & soul food_grub_877,Southern & Soul Food,French
6,asian_eatz_471,Asian,Mediterranean
7,swedish_connoisseur_803,Swedish,Moroccan
8,raye_cant_live_without_southern & soul food_grub_592,Southern & Soul Food,Spanish
9,hungarian_fan_805,Hungarian,American
