,username,favorite_cusine,least_fav_cuisine
0,lurline_needs_german_eatz_697,German,French
1,spanish_finesser_221,Spanish,Asian
2,irish_finesser_589,Irish,Swedish
3,german_fan_743,German,Italian
4,mexican_fan_089,Mexican,Indian
5,tashia_only_eats_southern & soul food_food_925,Southern & Soul Food,Greek
6,elliot_only_eats_mediterranean_food_068,Mediterranean,Southern & Soul Food
7,cristina_cant_get_enough_hungarian_eatz_740,Hungarian,American
8,moroccan_connoisseur_509,Moroccan,Indian
9,southwestern_connoisseur_366,Southwestern,Chinese
10,luciano_cant_get_enough_spanish_grub_275,Spanish,Greek
11,tashia_cant_get_enough_chinese_eatz_192,Chinese,Mexican
12,asian_connoisseur_091,Asian,Indian
13,elliot_cant_get_enough_thai_food_938,Thai,Japanese
14,hungarian_eatz_007,Hungarian,Asian
15,english_fan_218,English,Cuban
16,trang_cant_get_enough_asian_food_145,Asian,Hungarian
17,kathey_cant_live_without_cuban_food_179,Cuban,Irish
18,spanish_eatz_991,Spanish,Cuban
19,martin_needs_asian_eatz_115,Asian,Thai
