recipe_id|author|rating|date
258468|Alexander Kroeger|5|8/20/2019
258468|Anthony Cherry|5|8/17/2019
258468|Christine|4|1/6/2018
258468|Belle2406|2|10/30/2019
258468|whitesetter|3|9/23/2019
258468|Roy Wilkinson|5|4/27/2018
258468|Supagurl76|4|10/9/2019
258468|OlyMoe|5|1/1/2018
258468|Dave|3|10/24/2019
258468|dianazaikin|5|3/7/2019
258468|SuSie Jones Kinder|5|2/18/2018
258468|Sourpuss|4|1/2/2018
258468|Yvonne Probst Dixon|2|9/29/2019
258468|MICHAEL JACKSON|5|12/29/2017
258468|Micheal Webster|4|1/8/2018
258468|Arizona Desert Flower ALLRECIPES ALLSTAR This reviewer is an Allrecipes Allstar. Allstars are loyal community members selected to be brand ambassadors based on onsite participation, interest, and commitment. Allstars may be compensated for their participation in the Allrecipes Allstar Program. Allstar|4|9/11/2018
258468|Karen|5|12/13/2017
258468|fadelking|5|8/14/2018
258468|JenLyon|5|12/4/2017
258468|satorre00|5|8/26/2019
258468|C. Marie|5|12/28/2017
258468|AHoags|5|10/25/2019
258468|Linda J Lambie|5|10/31/2019
258468|Billie Jo Hoekstra Gill|5|10/26/2019
258468|Charles Adamek|5|1/12/2018
258468|CASINO18|5|10/8/2017
258468|Troy Hoffman|3|10/21/2019
258468|SDOUGLAS|4|6/30/2018
258468|Shanell|5|6/6/2019
258468|Betsy Bowen|5|10/28/2019
258468|Wendy Covelli|5|10/29/2019
258468|Kayla DesRochers|4|2/17/2019
258468|Peggy Bramanti|4|2/18/2019
258468|Toni Diane|5|9/4/2017
258468|Ann-Marie Case|4|9/16/2019
258468|Remotely Retired|5|10/25/2017
258468|Barbara Goldstein|4|2/10/2018
258468|newrider44|5|11/5/2017
258468|Harpeg|5|11/29/2017
258468|nancybk29|4|9/9/2017
258468|jlh|5|5/14/2018
258468|Sue|4|12/29/2017
258468|debbiechase|4|8/7/2019
258468|adjovi|5|2/11/2018
258468|Pam|2|9/2/2019
258468|Sammy|4|9/4/2019
258468|JulieU|5|10/17/2019
258468|Mark Beam|5|1/17/2018
258468|GinaK|4|3/6/2018
258468|jsparrow|5|12/28/2017
258468|mcfarlee|5|12/1/2017
258468|Alexandra Thompson|4|2/20/2018
258468|AintGotTimeForThat|5|11/8/2017
258468|Molly|3|1/30/2018
258468|Scott|3|12/3/2017
258468|katarina11|4|12/31/2017
258468|Lynn Strowig|4|2/18/2018
258468|Liz S. J. Ballanger|1|3/31/2018
258468|Frankie Hopkins|5|5/7/2018
258468|Erin Cordova|4|10/23/2019
258468|katherine|5|2/20/2019
258468|Jules68|5|3/26/2018
258468|Kathy Williams|4|9/22/2019
258468|anno15|5|1/6/2018
258468|nhgrammyx5|5|2/20/2018
258468|Cyndi|5|12/2/2017
258468|jeffbdad|4|12/29/2017
258468|Lorie Richardson|4|10/31/2019
258468|Nonnalin|5|12/2/2017
258468|Apwoods86|5|8/21/2017
258468|Lawrence Bullock CHt|3|12/5/2018
258468|mches|4|2/17/2018
258468|Sara Sadler|4|4/8/2018
258468|Tammy|4|12/29/2017
258468|Nancy Cole|4|12/8/2017
258468|acoelke|5|9/25/2019
258468|Joy|4|8/18/2019
258468|Sue Cerrato|5|2/5/2018
258468|wendy s.|5|1/8/2018
258468|Le Bao Bao|5|9/30/2019
258468|Jamie Loweree Renton|4|8/9/2019
258468|Nancy Bowler|5|10/15/2018
258468|Cory Castillo Palmquist|5|9/17/2019
258468|Ann Wortmann|4|1/11/2019
258468|Mathrin|4|8/27/2019
258468|MollyWRN|4|10/26/2019
258468|bd.weld ALLRECIPES ALLSTAR This reviewer is an Allrecipes Allstar. Allstars are loyal community members selected to be brand ambassadors based on onsite participation, interest, and commitment. Allstars may be compensated for their participation in the Allrecipes Allstar Program. Allstar|4|3/23/2019
258468|Andrew Luczenczyn|4|2/16/2019
258468|William Correll|2|1/4/2018
258468|Stacy Wolfmeyer|5|1/20/2018
258468|Dylan|5|6/4/2019
258468|Kenny Gutierrez|5|10/13/2019
258468|banhmi|1|1/17/2019
258468|Inga Morozoff|3|9/30/2019
258468|justagirl|5|9/26/2019
258468|Ree|5|10/30/2019
258468|FrackFamily5 CA—>CT|5|5/21/2018
258468|rjl786|1|2/26/2018
258468|bighipp|5|1/13/2019
